# time,Ca_macrophage
2.280000000000000071e+01,2.519155852400948858e-01
2.290000000000000213e+01,2.506817871964816535e-01
2.300000000000000000e+01,2.494622839935937975e-01
2.310000000000000142e+01,2.482569026269567380e-01
2.320000000000000284e+01,2.470654721224448958e-01
2.330000000000000071e+01,2.458878235130080858e-01
2.340000000000000213e+01,2.447237898808105883e-01
2.350000000000000000e+01,2.435732063399160541e-01
2.360000000000000142e+01,2.424359099387107253e-01
2.370000000000000284e+01,2.413117396800747716e-01
2.380000000000000071e+01,2.402005365024336148e-01
2.390000000000000213e+01,2.391021432690725035e-01
2.400000000000000000e+01,2.380164047572241592e-01
2.410000000000000142e+01,2.369431676204874770e-01
2.420000000000000284e+01,2.358822803781691901e-01
2.430000000000000071e+01,2.348335933968014044e-01
2.440000000000000213e+01,2.337969588581838565e-01
2.450000000000000000e+01,2.327722307094796383e-01
2.460000000000000142e+01,2.317592646898291586e-01
2.470000000000000284e+01,2.307579182912396221e-01
2.480000000000000071e+01,2.297680507338630274e-01
2.490000000000000213e+01,2.287895229653736928e-01
2.500000000000000000e+01,2.278221977428017131e-01
2.510000000000000142e+01,2.268659394812981012e-01
2.520000000000000284e+01,2.259206142717444243e-01
2.530000000000000071e+01,2.249860898752432392e-01
2.540000000000000213e+01,2.240622357025994493e-01
2.550000000000000000e+01,2.231489227487271909e-01
2.560000000000000142e+01,2.222460236287227830e-01
2.570000000000000284e+01,2.213534125557796162e-01
2.580000000000000071e+01,2.204709653156373128e-01
2.590000000000000213e+01,2.195985592457941338e-01
2.600000000000000000e+01,2.187360731422256233e-01
2.610000000000000142e+01,2.178833872528731230e-01
2.620000000000000284e+01,2.170403833160611529e-01
2.630000000000000071e+01,2.162069447105804121e-01
2.640000000000000213e+01,2.153829562976889433e-01
2.650000000000000000e+01,2.145683043309234983e-01
2.660000000000000142e+01,2.137628764206987719e-01
2.670000000000000284e+01,2.129665615991269967e-01
2.680000000000000071e+01,2.121792503145615572e-01
2.690000000000000213e+01,2.114008343779456012e-01
2.700000000000000000e+01,2.106312069606448567e-01
2.710000000000000142e+01,2.098702626002031113e-01
2.720000000000000284e+01,2.091178971545422371e-01
2.730000000000000071e+01,2.083740078094961923e-01
2.740000000000000213e+01,2.076384929813214208e-01
2.750000000000000000e+01,2.069112523991775976e-01
2.760000000000000142e+01,2.061921870569675963e-01
2.770000000000000284e+01,2.054811991938546023e-01
2.780000000000000071e+01,2.047781922715443959e-01
2.790000000000000213e+01,2.040830709708012503e-01
2.800000000000000000e+01,2.033957412130370512e-01
2.810000000000000142e+01,2.027161100439889008e-01
2.820000000000000284e+01,2.020440857047893501e-01
2.830000000000000071e+01,2.013795776227433332e-01
2.840000000000000213e+01,2.007224962999371309e-01
2.850000000000000000e+01,2.000727534231577509e-01
2.860000000000000142e+01,1.994302617807711120e-01
2.870000000000000284e+01,1.987949352217224797e-01
2.880000000000000071e+01,1.981666887409942179e-01
2.890000000000000213e+01,1.975454383413595416e-01
2.900000000000000000e+01,1.969311011041325610e-01
2.910000000000000142e+01,1.963235952178328247e-01
2.920000000000000284e+01,1.957228398342119036e-01
2.930000000000000071e+01,1.951287550956406491e-01
2.940000000000000213e+01,1.945412622296693872e-01
2.950000000000000000e+01,1.939602834262258990e-01
2.960000000000000142e+01,1.933857417888176500e-01
2.970000000000000284e+01,1.928175614728090126e-01
2.980000000000000071e+01,1.922556675845232266e-01
2.990000000000000213e+01,1.916999860814692647e-01
3.000000000000000000e+01,1.911504439312937398e-01
3.010000000000000142e+01,1.906069690374500858e-01
3.020000000000000284e+01,1.900694901128300585e-01
3.030000000000000071e+01,1.895379368280372678e-01
3.040000000000000213e+01,1.890122397601472770e-01
3.050000000000000000e+01,1.884923301774495408e-01
3.060000000000000142e+01,1.879781403196336409e-01
3.070000000000000284e+01,1.874696033609408174e-01
3.080000000000000071e+01,1.869666533703055467e-01
3.090000000000000213e+01,1.864692253113553744e-01
3.100000000000000000e+01,1.859772547886831828e-01
3.110000000000000142e+01,1.854906778605059092e-01
3.120000000000000284e+01,1.850094317358556562e-01
3.130000000000000071e+01,1.845334544658241982e-01
3.140000000000000213e+01,1.840626849340659954e-01
3.150000000000000000e+01,1.835970628380486636e-01
3.160000000000000142e+01,1.831365282052378474e-01
3.170000000000000284e+01,1.826810218985256140e-01
3.180000000000000071e+01,1.822304857054117266e-01
3.190000000000000213e+01,1.817848621877518611e-01
3.200000000000000000e+01,1.813440946817578836e-01
3.210000000000000142e+01,1.809081271558427573e-01
3.220000000000000284e+01,1.804769038669840620e-01
3.230000000000000426e+01,1.800503700676524543e-01
3.239999999999999858e+01,1.796284717600893366e-01
3.250000000000000000e+01,1.792111556651832527e-01
3.260000000000000142e+01,1.787983692207531505e-01
3.270000000000000284e+01,1.783900602171560046e-01
3.280000000000000426e+01,1.779861770260222353e-01
3.289999999999999858e+01,1.775866688760384116e-01
3.300000000000000000e+01,1.771914856633228230e-01
3.310000000000000142e+01,1.768005779514258968e-01
3.320000000000000284e+01,1.764138968991147971e-01
3.330000000000000426e+01,1.760313938634827102e-01
3.339999999999999858e+01,1.756530210485342802e-01
3.350000000000000000e+01,1.752787313471774466e-01
3.360000000000000142e+01,1.749084782785697845e-01
3.370000000000000284e+01,1.745422159881185042e-01
3.380000000000000426e+01,1.741798992283893066e-01
3.389999999999999858e+01,1.738214828225177477e-01
3.400000000000000000e+01,1.734669222442758452e-01
3.410000000000000142e+01,1.731161737212834617e-01
3.420000000000000284e+01,1.727691940545472149e-01
3.430000000000000426e+01,1.724259406184605603e-01
3.439999999999999858e+01,1.720863713608037637e-01
3.450000000000000000e+01,1.717504444824536070e-01
3.460000000000000142e+01,1.714181185042510103e-01
3.470000000000000284e+01,1.710893527423748839e-01
3.480000000000000426e+01,1.707641070413342121e-01
3.489999999999999858e+01,1.704423417735734803e-01
3.500000000000000000e+01,1.701240178394727576e-01
3.510000000000000142e+01,1.698090965217853299e-01
3.520000000000000284e+01,1.694975392140605219e-01
3.530000000000000426e+01,1.691893080696244278e-01
3.539999999999999858e+01,1.688843657522373087e-01
3.550000000000000000e+01,1.685826754124343241e-01
3.560000000000000142e+01,1.682842006875256147e-01
3.570000000000000284e+01,1.679889056522326229e-01
3.580000000000000426e+01,1.676967544303611946e-01
3.589999999999999858e+01,1.674077117697133077e-01
3.600000000000000000e+01,1.671217429409706523e-01
3.610000000000000142e+01,1.668388136633132124e-01
3.620000000000000284e+01,1.665588901044191550e-01
3.630000000000000426e+01,1.662819388736372084e-01
3.639999999999999858e+01,1.660079266525329167e-01
3.650000000000000000e+01,1.657368205537262384e-01
3.660000000000000142e+01,1.654685882634272520e-01
3.670000000000000284e+01,1.652031978840724780e-01
3.680000000000000426e+01,1.649406179343249346e-01
3.689999999999999858e+01,1.646808173490740823e-01
3.700000000000000000e+01,1.644237654537755167e-01
3.710000000000000142e+01,1.641694315048485009e-01
3.720000000000000284e+01,1.639177852629114529e-01
3.730000000000000426e+01,1.636687970020480054e-01
3.739999999999999858e+01,1.634224373749660897e-01
3.750000000000000000e+01,1.631786774129975748e-01
3.760000000000000142e+01,1.629374885260985450e-01
3.770000000000000284e+01,1.626988424577117953e-01
3.780000000000000426e+01,1.624627109082933119e-01
3.789999999999999858e+01,1.622290661013341961e-01
3.800000000000000000e+01,1.619978806852232223e-01
3.810000000000000142e+01,1.617691276555608404e-01
3.820000000000000284e+01,1.615427803551590380e-01
3.830000000000000426e+01,1.613188124740414509e-01
3.840000000000000568e+01,1.610971979765169204e-01
3.850000000000000000e+01,1.608779107883953341e-01
3.860000000000000142e+01,1.606609253640969570e-01
3.870000000000000284e+01,1.604462165213672853e-01
3.880000000000000426e+01,1.602337593958716444e-01
3.890000000000000568e+01,1.600235294411955222e-01
3.900000000000000000e+01,1.598155024288443748e-01
3.910000000000000142e+01,1.596096543436279769e-01
3.920000000000000284e+01,1.594059611599134563e-01
3.930000000000000426e+01,1.592043993622624942e-01
3.940000000000000568e+01,1.590049457485388229e-01
3.950000000000000000e+01,1.588075774073917645e-01
3.960000000000000142e+01,1.586122717182563702e-01
3.970000000000000284e+01,1.584190063513532809e-01
3.980000000000000426e+01,1.582277591323197896e-01
3.990000000000000568e+01,1.580385079326931952e-01
4.000000000000000000e+01,1.578512310952431830e-01
4.010000000000000142e+01,1.576659072387154858e-01
4.020000000000000284e+01,1.574825152498579017e-01
4.030000000000000426e+01,1.573010342834202102e-01
4.040000000000000568e+01,1.571214437621541171e-01
4.050000000000000000e+01,1.569437232783593428e-01
4.060000000000000142e+01,1.567678523866430085e-01
4.070000000000000284e+01,1.565938110949271767e-01
4.080000000000000426e+01,1.564215796765733857e-01
4.090000000000000568e+01,1.562511386491227672e-01
4.100000000000000000e+01,1.560824687742958794e-01
4.110000000000000142e+01,1.559155510579928461e-01
4.120000000000000284e+01,1.557503666940551201e-01
4.130000000000000426e+01,1.555868968258741492e-01
4.140000000000000568e+01,1.554251229849465121e-01
4.150000000000000000e+01,1.552650269609916200e-01
4.160000000000000142e+01,1.551065907668669197e-01
4.170000000000000284e+01,1.549497966385678105e-01
4.180000000000000426e+01,1.547946270352276721e-01
4.190000000000000568e+01,1.546410646109921960e-01
