# time,IL6_macrophage
9.800000000000000711e+00,5.772266708166405857e-01
9.900000000000000355e+00,5.923632334227458829e-01
1.000000000000000000e+01,6.072228579373825097e-01
1.010000000000000142e+01,6.217919251419303794e-01
1.020000000000000107e+01,6.360583499921736994e-01
1.030000000000000071e+01,6.500115524917908782e-01
1.040000000000000036e+01,6.636424024405831457e-01
1.050000000000000000e+01,6.769431807754456853e-01
1.060000000000000142e+01,6.899075108616230523e-01
1.070000000000000107e+01,7.025303102963461610e-01
1.080000000000000071e+01,7.148077202830936949e-01
1.090000000000000036e+01,7.267370463384422719e-01
1.100000000000000000e+01,7.383166902164194356e-01
1.110000000000000142e+01,7.495460832158153952e-01
1.120000000000000107e+01,7.604256182827178190e-01
1.130000000000000071e+01,7.709565855836550963e-01
1.140000000000000036e+01,7.811411038644288096e-01
1.150000000000000000e+01,7.909820550100592484e-01
1.160000000000000142e+01,8.004830205493769224e-01
1.170000000000000107e+01,8.096482193573428798e-01
1.180000000000000071e+01,8.184824466373470386e-01
1.190000000000000036e+01,8.269910156987173577e-01
1.200000000000000000e+01,8.351797024105480638e-01
1.210000000000000142e+01,8.430546888462492339e-01
1.220000000000000107e+01,8.506225159381489709e-01
1.230000000000000071e+01,8.578900314403877791e-01
1.240000000000000036e+01,8.648643455028084404e-01
1.250000000000000000e+01,8.715527874871376035e-01
1.260000000000000142e+01,8.779628632912774844e-01
1.270000000000000107e+01,8.841022203828273751e-01
1.280000000000000071e+01,8.899786082613336813e-01
1.290000000000000036e+01,8.955998495061553433e-01
1.300000000000000000e+01,9.009738087574840071e-01
1.310000000000000142e+01,9.061083621013592548e-01
1.320000000000000107e+01,9.110113630899276949e-01
1.330000000000000071e+01,9.156906348703107712e-01
1.340000000000000036e+01,9.201539475716649097e-01
1.350000000000000000e+01,9.244089987172179335e-01
1.360000000000000142e+01,9.284633785826911234e-01
1.370000000000000107e+01,9.323245706692129264e-01
1.380000000000000071e+01,9.359999405523131699e-01
1.390000000000000036e+01,9.394967109911072090e-01
1.400000000000000000e+01,9.428219618405040414e-01
1.410000000000000142e+01,9.459826195321494602e-01
1.420000000000000107e+01,9.489854431362299003e-01
1.430000000000000071e+01,9.518370242754466970e-01
1.440000000000000036e+01,9.545437804871247378e-01
1.450000000000000000e+01,9.571119502133971224e-01
1.460000000000000142e+01,9.595475926146664891e-01
1.470000000000000107e+01,9.618565828869186651e-01
1.480000000000000071e+01,9.640446091652945526e-01
1.490000000000000036e+01,9.661171767406083744e-01
1.500000000000000000e+01,9.680796044784860666e-01
1.510000000000000142e+01,9.699370255726438295e-01
1.520000000000000107e+01,9.716943912757368684e-01
1.530000000000000071e+01,9.733564711706614858e-01
1.540000000000000036e+01,9.749278566685528613e-01
1.550000000000000000e+01,9.764129643344540144e-01
1.560000000000000142e+01,9.778160351300273501e-01
1.570000000000000107e+01,9.791411408796432125e-01
1.580000000000000071e+01,9.803921877108362493e-01
1.590000000000000036e+01,9.815729189213725503e-01
1.600000000000000000e+01,9.826869204017593118e-01
1.610000000000000142e+01,9.837376239447148674e-01
1.619999999999999929e+01,9.847283105343295206e-01
1.630000000000000071e+01,9.856621166850526583e-01
1.640000000000000213e+01,9.865420375913912521e-01
1.650000000000000000e+01,9.873709317363210669e-01
1.660000000000000142e+01,9.881515261828064389e-01
1.669999999999999929e+01,9.888864201351262873e-01
1.680000000000000071e+01,9.895780898390524882e-01
1.690000000000000213e+01,9.902288934309853019e-01
1.700000000000000000e+01,9.908410741846501724e-01
1.710000000000000142e+01,9.914167661727172343e-01
1.719999999999999929e+01,9.919579983376164423e-01
1.730000000000000071e+01,9.924666973603297748e-01
1.740000000000000213e+01,9.929446936237861232e-01
1.750000000000000000e+01,9.933937245596429211e-01
1.760000000000000142e+01,9.938154374690164605e-01
1.769999999999999929e+01,9.942113953109167346e-01
1.780000000000000071e+01,9.945830793792164171e-01
1.790000000000000213e+01,9.949318923295743522e-01
1.800000000000000000e+01,9.952591635253685842e-01
1.810000000000000142e+01,9.955661507982723757e-01
1.819999999999999929e+01,9.958540437037357584e-01
1.830000000000000071e+01,9.961239684168829989e-01
1.840000000000000213e+01,9.963769888529929730e-01
1.850000000000000000e+01,9.966141103036058047e-01
1.860000000000000142e+01,9.968362833894077735e-01
1.869999999999999929e+01,9.970444038022012734e-01
1.880000000000000071e+01,9.972393177982858958e-01
1.890000000000000213e+01,9.974218256964826335e-01
1.900000000000000000e+01,9.975926841767301934e-01
1.910000000000000142e+01,9.977526023298766145e-01
1.920000000000000284e+01,9.979022482184942699e-01
1.930000000000000071e+01,9.980422542862529278e-01
1.940000000000000213e+01,9.981732179834521546e-01
1.950000000000000000e+01,9.982956987881560496e-01
1.960000000000000142e+01,9.984102217758671349e-01
1.970000000000000284e+01,9.985172841873498628e-01
1.980000000000000071e+01,9.986173553477848408e-01
1.990000000000000213e+01,9.987108747083610627e-01
2.000000000000000000e+01,9.987982525309555548e-01
