# time,IL10_macrophage
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,4.630419914675365193e-36
2.000000000000000111e-01,3.848383371579063890e-29
3.000000000000000444e-01,4.052940661250291963e-25
4.000000000000000222e-01,2.484002067825017275e-22
5.000000000000000000e-01,3.304997174966123744e-20
6.000000000000000888e-01,1.674474665911949229e-18
7.000000000000000666e-01,4.392441177207502627e-17
8.000000000000000444e-01,6.969363396880624174e-16
9.000000000000000222e-01,7.623817738479087724e-15
1.000000000000000000e+00,6.238218081163863308e-14
1.100000000000000089e+00,4.013438560649885039e-13
1.200000000000000178e+00,2.124649920556558815e-12
1.300000000000000044e+00,9.551397945057288375e-12
1.400000000000000133e+00,3.738292623051612134e-11
1.500000000000000000e+00,1.299833862492835467e-10
1.600000000000000089e+00,4.072998844463454591e-10
1.700000000000000178e+00,1.165916616801364619e-09
1.800000000000000044e+00,3.082101318659793310e-09
1.900000000000000133e+00,7.591987490739127803e-09
2.000000000000000000e+00,1.755842695036758623e-08
2.100000000000000089e+00,3.837738899057284265e-08
2.200000000000000178e+00,7.970294044377840481e-08
2.300000000000000266e+00,1.580532666587892496e-07
2.400000000000000355e+00,3.005293824280396692e-07
2.500000000000000000e+00,5.499473043308591015e-07
2.600000000000000089e+00,9.716554753538817927e-07
2.700000000000000178e+00,1.662285318170391742e-06
2.800000000000000266e+00,2.760630478974404790e-06
2.900000000000000355e+00,4.460767385093852399e-06
3.000000000000000000e+00,7.027428685257217248e-06
3.100000000000000089e+00,1.081352163022899599e-05
3.200000000000000178e+00,1.627955226388473704e-05
3.300000000000000266e+00,2.401459283474097136e-05
3.400000000000000355e+00,3.475830465618758784e-05
3.500000000000000000e+00,4.942342728615603303e-05
3.600000000000000089e+00,6.911807251616162539e-05
3.700000000000000178e+00,9.516706096735150699e-05
3.800000000000000266e+00,1.291316653646723154e-04
3.900000000000000355e+00,1.728269039743682625e-04
4.000000000000000000e+00,2.283358148739655067e-04
4.100000000000000533e+00,2.980200617051927906e-04
4.200000000000000178e+00,3.845263838429530795e-04
4.299999999999999822e+00,4.907885066735951469e-04
4.400000000000000355e+00,6.200243358171631924e-04
4.500000000000000000e+00,7.757281306677390499e-04
4.600000000000000533e+00,9.616579566047518852e-04
4.700000000000000178e+00,1.181818392385789503e-03
4.800000000000000711e+00,1.440438823922704200e-03
4.900000000000000355e+00,1.741947711499615718e-03
5.000000000000000000e+00,2.090943361012592271e-03
5.100000000000000533e+00,2.492161673683762103e-03
5.200000000000000178e+00,2.950441507779837103e-03
5.300000000000000711e+00,3.470688285962119854e-03
5.400000000000000355e+00,4.057836479513767663e-03
5.500000000000000000e+00,4.716811614590270610e-03
5.600000000000000533e+00,5.452492407271742995e-03
5.700000000000000178e+00,6.269673567823196361e-03
5.800000000000000711e+00,7.173029849394003087e-03
5.900000000000000355e+00,8.167081975581738304e-03
6.000000000000000000e+00,9.256163942876942732e-03
6.100000000000000533e+00,1.044439331069274557e-02
6.200000000000000178e+00,1.173564563333873677e-02
6.300000000000000711e+00,1.313352934566385487e-02
6.400000000000000355e+00,1.464136458450098280e-02
6.500000000000000000e+00,1.626216674302008447e-02
