# time,Ca_macrophage
1.030000000000000071e+01,9.999171133960246260e-01
1.040000000000000036e+01,9.999250009140622231e-01
1.050000000000000000e+01,9.999321378189951481e-01
1.060000000000000142e+01,9.999385956134615450e-01
1.070000000000000107e+01,9.999444387975765514e-01
1.080000000000000071e+01,9.999497260454162095e-01
1.090000000000000036e+01,9.999545101321052343e-01
1.100000000000000000e+01,9.999588389952449585e-01
1.110000000000000142e+01,9.999627559152669543e-01
1.120000000000000107e+01,9.999663000851964911e-01
1.130000000000000071e+01,9.999695070172500699e-01
1.140000000000000036e+01,9.999724087401172801e-01
1.150000000000000000e+01,9.999750343769628902e-01
1.160000000000000142e+01,9.999774101244304214e-01
1.170000000000000107e+01,9.999795598192535717e-01
1.180000000000000071e+01,9.999815049283856672e-01
1.190000000000000036e+01,9.999832649477607971e-01
1.200000000000000000e+01,9.999848574939969037e-01
1.210000000000000142e+01,9.999862984876567440e-01
1.220000000000000107e+01,9.999876023459559615e-01
1.230000000000000071e+01,9.999887821257960052e-01
1.240000000000000036e+01,9.999898496393962999e-01
1.250000000000000000e+01,9.999908155660911513e-01
1.260000000000000142e+01,9.999916895756131296e-01
1.270000000000000107e+01,9.999924804108619725e-01
1.280000000000000071e+01,9.999931959898765710e-01
1.290000000000000036e+01,9.999938434711236335e-01
1.300000000000000000e+01,9.999944293394901207e-01
1.310000000000000142e+01,9.999949594535658681e-01
1.320000000000000107e+01,9.999954391219194605e-01
1.330000000000000071e+01,9.999958731406338730e-01
1.340000000000000036e+01,9.999962658621889267e-01
1.350000000000000000e+01,9.999966212082286310e-01
1.360000000000000142e+01,9.999969427423334167e-01
1.370000000000000107e+01,9.999972336754857638e-01
1.380000000000000071e+01,9.999974969254438184e-01
1.390000000000000036e+01,9.999977351218301003e-01
1.400000000000000000e+01,9.999979506527161277e-01
1.410000000000000142e+01,9.999981456722013551e-01
1.420000000000000107e+01,9.999983221339396877e-01
1.430000000000000071e+01,9.999984818028867517e-01
1.440000000000000036e+01,9.999986262772607715e-01
1.450000000000000000e+01,9.999987569955917088e-01
1.460000000000000142e+01,9.999988752605145637e-01
1.470000000000000107e+01,9.999989822694469455e-01
1.480000000000000071e+01,9.999990791181868621e-01
1.490000000000000036e+01,9.999991667489834812e-01
1.500000000000000000e+01,9.999992460344511169e-01
1.510000000000000142e+01,9.999993177828133684e-01
1.520000000000000107e+01,9.999993827192279472e-01
1.530000000000000071e+01,9.999994414695301259e-01
1.540000000000000036e+01,9.999994946236815396e-01
1.550000000000000000e+01,9.999995427248206115e-01
1.560000000000000142e+01,9.999995862469343022e-01
1.570000000000000107e+01,9.999996256191691080e-01
1.580000000000000071e+01,9.999996612430835929e-01
1.590000000000000036e+01,9.999996934860252429e-01
1.600000000000000000e+01,9.999997226584994570e-01
1.610000000000000142e+01,9.999997490517981147e-01
1.619999999999999929e+01,9.999997729355618592e-01
1.630000000000000071e+01,9.999997945498496632e-01
1.640000000000000213e+01,9.999998141041905875e-01
1.650000000000000000e+01,9.999998317956297900e-01
1.660000000000000142e+01,9.999998478053365725e-01
1.669999999999999929e+01,9.999998622914475499e-01
1.680000000000000071e+01,9.999998753974713717e-01
1.690000000000000213e+01,9.999998872560581509e-01
1.700000000000000000e+01,9.999998979857469550e-01
1.710000000000000142e+01,9.999999076930827790e-01
1.719999999999999929e+01,9.999999164767252591e-01
1.730000000000000071e+01,9.999999244255296516e-01
1.740000000000000213e+01,9.999999316174360553e-01
1.750000000000000000e+01,9.999999381248700914e-01
1.760000000000000142e+01,9.999999440136302375e-01
1.769999999999999929e+01,9.999999493416283913e-01
1.780000000000000071e+01,9.999999541622967003e-01
1.790000000000000213e+01,9.999999585245428202e-01
1.800000000000000000e+01,9.999999624714157598e-01
1.810000000000000142e+01,9.999999660424088166e-01
1.819999999999999929e+01,9.999999692739418578e-01
1.830000000000000071e+01,9.999999721980820100e-01
1.840000000000000213e+01,9.999999748437793379e-01
1.850000000000000000e+01,9.999999772377926588e-01
1.860000000000000142e+01,9.999999794040791423e-01
1.869999999999999929e+01,9.999999813640233493e-01
1.880000000000000071e+01,9.999999831374268844e-01
1.890000000000000213e+01,9.999999847422095245e-01
1.900000000000000000e+01,9.999999861941382129e-01
1.910000000000000142e+01,9.999999875078573464e-01
1.920000000000000284e+01,9.999999886967262386e-01
1.930000000000000071e+01,9.999999897724132225e-01
1.940000000000000213e+01,9.999999907456837978e-01
1.950000000000000000e+01,9.999999916263916377e-01
1.960000000000000142e+01,9.999999924230916770e-01
1.970000000000000284e+01,9.999999931437048017e-01
1.980000000000000071e+01,9.999999937956388640e-01
1.990000000000000213e+01,9.999999943858475238e-01
2.000000000000000000e+01,9.999999949203481897e-01
2.010000000000000142e+01,9.999999954039189287e-01
2.020000000000000284e+01,9.999999958414210743e-01
2.030000000000000071e+01,9.999999962373689044e-01
2.040000000000000213e+01,9.999999965959519566e-01
2.050000000000000000e+01,9.999999969204469430e-01
2.060000000000000142e+01,9.999999972139462789e-01
2.070000000000000284e+01,9.999999974793999380e-01
2.080000000000000071e+01,9.999999977195611622e-01
2.090000000000000213e+01,9.999999979368576764e-01
2.100000000000000000e+01,9.999999981333007604e-01
2.110000000000000142e+01,9.999999983109111312e-01
2.120000000000000284e+01,9.999999984716002599e-01
2.130000000000000071e+01,9.999999986171727029e-01
2.140000000000000213e+01,9.999999987489345266e-01
2.150000000000000000e+01,9.999999988681346208e-01
2.160000000000000142e+01,9.999999989759846830e-01
2.170000000000000284e+01,9.999999990736060385e-01
2.180000000000000071e+01,9.999999991619816786e-01
2.190000000000000213e+01,9.999999992419160710e-01
2.200000000000000000e+01,9.999999993141988064e-01
2.210000000000000142e+01,9.999999993795587461e-01
2.220000000000000284e+01,9.999999994386703506e-01
2.230000000000000071e+01,9.999999994920941715e-01
2.240000000000000213e+01,9.999999995403643371e-01
2.250000000000000000e+01,9.999999995840007649e-01
2.260000000000000142e+01,9.999999996235067190e-01
2.270000000000000284e+01,9.999999996593613716e-01
2.280000000000000071e+01,9.999999996918451650e-01
2.290000000000000213e+01,9.999999997212500880e-01
2.300000000000000000e+01,9.999999997478699054e-01
2.310000000000000142e+01,9.999999997719736244e-01
2.320000000000000284e+01,9.999999997938069374e-01
2.330000000000000071e+01,9.999999998135610246e-01
2.340000000000000213e+01,9.999999998314177407e-01
2.350000000000000000e+01,9.999999998475488372e-01
2.360000000000000142e+01,9.999999998621134090e-01
2.370000000000000284e+01,9.999999998752601149e-01
