time, cpd43,LPS,TLR,P13K,AKT,FPR1,FPR2,Ca_macrophage,CALM,PP3CA,NFAT,cAMP_macrophage,Ras_macrophage,MEKK1_macrophage,ERK_macrophage,Hsp27,AP1_macrophage,CCL2,p38_macrophage,NFKB_macrophage,IL10mRNA,IL1mRNA,IL6mRNA,TNFamRNA,IL1_macrophage,IL6_macrophage,TNFa_macrophage,IL10_macrophage,
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,1.0,0.07901506952536029,0.011137370793378027,0.00044328611138576496,3.1379448501675786e-06,0.6321205562028824,0.6321205562028824,0.3227606135291381,0.05257380594518957,0.002656767839007595,2.688655238650651e-05,0.20141273496399054,0.3227606135291381,0.05257380594518957,0.002656767839007595,2.688655238650651e-05,0.0,0.0,0.002656767839007595,2.0434479714040252e-09,3.11689632039107e-09,4.8163196779826023e-14,4.8163196779826023e-14,4.8163196779826023e-14,0.6321205562028823,0.6321205562028823,0.6321205562028823,6.22577788776557e-14,
2.0,1.0,0.10808308963799575,0.029737754207414376,0.0034074701274660287,0.0001128561944885599,0.8646647171039659,0.8646647171039659,0.6987278818251681,0.30824328859237926,0.0678526304917453,0.005604492171854833,0.5314475979003835,0.6987278818251681,0.30824328859237926,0.0678526304917453,0.005604492171854833,0.0,0.0,0.0678526304917453,6.598106641661082e-07,1.3538044643751212e-05,3.427507992702096e-10,3.427507992702096e-10,3.427507992702096e-10,0.864664717102842,0.864664717102842,0.864664717102842,1.7561498574849955e-08,
3.0,1.0,0.11877661662503407,0.04290266374166417,0.00803846507650786,0.0005686240953358694,0.9502129330002728,0.9502129330002728,0.8817224627600904,0.5958339710164874,0.2598050141173357,0.05923125504854021,0.7617314355715867,0.8817224627600904,0.5958339710164874,0.2598050141173357,0.05923125504854021,0.0,0.0,0.2598050141173357,1.0036379754288764e-05,0.0006763550240369964,2.513443587521942e-08,2.513443587521942e-08,2.513443587521942e-08,0.9502129246571758,0.9502129246571758,0.9502129246571758,7.027428047334225e-06,
4.0,1.0,0.1227105452493826,0.05017903889359123,0.012233907304103403,0.0013441797296005207,0.9816843619950609,0.9816843619950609,0.9554625972191653,0.7928447210607971,0.5006299561191312,0.20434141026229818,0.8879066139147908,0.9554625972191653,0.7928447210607971,0.5006299561191312,0.20434141026229818,0.0,0.0,0.5006299561191312,4.616320310574989e-05,0.006212674855776583,3.03147174012377e-07,3.03147174012377e-07,3.03147174012377e-07,0.9816827462176988,0.9816827462176988,0.9816827462176988,0.00022833579106309364,
5.0,1.0,0.12415775672606932,0.05376476064092773,0.015153035919772028,0.0021788200738624853,0.9932620538085547,0.9932620538085547,0.9834759528729796,0.9018108358035277,0.7019767961927567,0.40859137424319586,0.9497467120134739,0.9834759528729796,0.9018108358035277,0.7019767961927567,0.40859137424319586,0.0,0.0,0.7019767961927567,0.00011496524229229646,0.024594182965343603,1.4301441024481964e-06,1.4301441024481964e-06,1.4301441024481964e-06,0.993213134048907,0.993213134048907,0.993213134048907,0.002090943282056554,
6.0,1.0,0.1246901560831496,0.05542006111194888,0.016899982839811208,0.0028667819374754966,0.997521248665197,0.997521248665197,0.9939022013125728,0.9557277089358083,0.8370119573266263,0.6072017473461313,0.978192449538424,0.9939022013125728,0.9557277089358083,0.8370119573266263,0.6072017473461313,0.0,0.0,0.8370119573266263,0.0002009113904694707,0.06066344989206103,3.877162207478544e-06,3.877162207478544e-06,3.877162207478544e-06,0.9970170117062962,0.9970170117062962,0.9970170117062962,0.009256163584197778,
7.0,1.0,0.1248860147467075,0.05615293363014311,0.017850309232590532,0.0033455890660157887,0.9990881179736603,0.9990881179736603,0.997754179029246,0.9807060246546181,0.9162963474417672,0.761339790148447,0.9907554809084016,0.997754179029246,0.9807060246546181,0.9162963474417672,0.761339790148447,0.0,0.0,0.9162963474417672,0.00028279493588925824,0.11253381029416401,7.409482372096899e-06,7.409482372096899e-06,7.409482372096899e-06,0.9964449676198572,0.9964449676198572,0.9964449676198572,0.02614323475318292,
8.0,1.0,0.12495806716646389,0.0564681636306219,0.018334784866257524,0.0036428728326141613,0.9996645373317113,0.9996645373317113,0.9991734612794072,0.9917947097195962,0.95897007375176,0.8646435732539169,0.9961495313988382,0.9991734612794072,0.9917947097195962,0.95897007375176,0.8646435732539169,0.0,0.0,0.95897007375176,0.00034774041187704254,0.17441048626566338,1.1266899994366405e-05,1.1266899994366405e-05,1.1266899994366405e-05,0.990801947185955,0.990801947185955,0.990801947185955,0.05515839020561364,
9.0,1.0,0.12498457376002133,0.05660091783996257,0.018570513369052726,0.003813113096101255,0.9998765900801707,0.9998765900801707,0.9996958861398251,0.9965738798799403,0.9805901901586269,0.9272363343406289,0.9984180841516609,0.9996958861398251,0.9965738798799403,0.9805901901586269,0.9272363343406289,0.0,0.0,0.9805901901586269,0.000393009268356369,0.24032505852842637,1.4724969352847423e-05,1.4724969352847423e-05,1.4724969352847423e-05,0.9780026215905221,0.9780026215905221,0.9780026215905221,0.0956523594474256,
