time, cpd43,LPS,TLR,P13K,AKT,FPR1,FPR2,Ca_macrophage,CALM,PP3CA,NFAT,cAMP_macrophage,Ras_macrophage,MEKK1_macrophage,ERK_macrophage,Hsp27,AP1_macrophage,CCL2,p38_macrophage,NFKB_macrophage,IL10mRNA,IL1mRNA,IL6mRNA,TNFamRNA,IL1_macrophage,IL6_macrophage,TNFa_macrophage,IL10_macrophage,
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,1.0,0.1580301390641048,0.029346529810977195,0.0017213905632711606,2.0974199858502638e-05,0.31606027812820964,0.6321205562564193,0.24785681268053028,0.03523162324278724,0.0014789048841161196,1.1589494760478528e-05,0.07713328988142051,0.24785681268053028,0.03523162324278724,0.0014789048841161196,1.1589494760478528e-05,0.0,0.0,0.0014789048841161196,2.921206455051361e-08,9.408937586197067e-10,1.9961734148012232e-12,1.9961734148012232e-12,1.9961734148012232e-12,0.6321205562564192,0.6321205562564192,0.6321205562564192,1.1468996658655552e-14,
2.0,1.0,0.21616617938066135,0.07826833665000235,0.013205725072624894,0.0007524322438945874,0.4323323587613226,0.8646647175226452,0.5958965624346606,0.23459984599363207,0.04423165089824898,0.002951704442093762,0.20510314411221578,0.5958965624346606,0.23459984599363207,0.04423165089824898,0.002951704442093762,0.0,0.0,0.04423165089824898,9.401984666176263e-06,5.283976086066421e-06,1.4143498126283882e-08,1.4143498126283882e-08,1.4143498126283882e-08,0.8646647175224801,0.8646647175224801,0.8646647175224801,4.5468500266462556e-09,
3.0,1.0,0.23755323345161755,0.112846355731038,0.03110613137159103,0.003782939138023315,0.4751064669032351,0.9502129338064702,0.8081231987710622,0.5002912954328188,0.1928442903757663,0.036986398976566706,0.29522722605359897,0.8081231987710622,0.5002912954328188,0.1928442903757663,0.036986398976566706,0.0,0.0,0.1928442903757663,0.00014261017174297273,0.00032824004632785224,1.0333029283297876e-06,1.0333029283297876e-06,1.0333029283297876e-06,0.9502129319983343,0.9502129319983343,0.9502129319983343,2.435695627382585e-06,
4.0,1.0,0.2454210905819837,0.13194183923999359,0.04729310005916818,0.008927592534683844,0.4908421811639675,0.981684362327935,0.9140761650732908,0.7132841181105679,0.4100422870658805,0.14608241204328473,0.3448880066604432,0.9140761650732908,0.7132841181105679,0.4100422870658805,0.14608241204328473,0.0,0.0,0.4100422870658805,0.0006544388819319834,0.0035873812629849573,1.2424149284118358e-05,1.2424149284118358e-05,1.2424149284118358e-05,0.9816838791691384,0.9816838791691384,0.9816838791691384,0.00010020564461717616,
5.0,1.0,0.2483155134240183,0.14134693744446394,0.05854093609645187,0.014453560916852626,0.49663102684803684,0.9932620536960737,0.9628276052207072,0.8488052248836527,0.6173393144064737,0.3238505413968677,0.36931377431603535,0.9628276052207072,0.8488052248836527,0.6173393144064737,0.3238505413968677,0.0,0.0,0.6173393144064737,0.0016269181361531146,0.01624262737941591,5.846825166138239e-05,5.846825166138239e-05,5.846825166138239e-05,0.9932431537392648,0.9932431537392648,0.9932431537392648,0.00110508905391952,
6.0,1.0,0.24938031205401057,0.14568717560733493,0.06526602842242957,0.01900173368603357,0.4987606241080212,0.9975212482160424,0.984289466300401,0.9247535593518122,0.7732161221371848,0.5194205272880386,0.38057553125745003,0.984289466300401,0.9247535593518122,0.7732161221371848,0.5194205272880386,0.0,0.0,0.7732161221371848,0.0028394262809783907,0.04433954579812274,0.00015820696671904597,0.00015820696671904597,0.00015820696671904597,0.9972829534574259,0.9972829534574259,0.9972829534574259,0.005650483364299674,
7.0,1.0,0.24977202960947922,0.14760832690833378,0.06892209089069695,0.022163728260241298,0.4995440592189585,0.999088118437917,0.9934730492973767,0.9640828386911859,0.8743822615650743,0.6879057546606331,0.3855572945537516,0.9934730492973767,0.9640828386911859,0.8743822615650743,0.6879057546606331,0.0,0.0,0.8743822615650743,0.003992915423577682,0.08869718715410911,0.00030190947499748806,0.00030190947499748806,0.00030190947499748806,0.9976259445457689,0.9976259445457689,0.9976259445457689,0.01782686195319907,
8.0,1.0,0.24991613442276292,0.1484345279588915,0.07078509669948542,0.02412538651666675,0.49983226884552595,0.9996645376910519,0.9973241282782171,0.9833863799876618,0.933909997948909,0.8114361433781148,0.3876987596753241,0.9973241282782171,0.9833863799876618,0.933909997948909,0.8114361433781148,0.0,0.0,0.933909997948909,0.004906761381576417,0.14534654759968624,0.000458603756675714,0.000458603756675714,0.000458603756675714,0.9941208735013579,0.9941208735013579,0.9941208735013579,0.04093004695029491,
9.0,1.0,0.24996914756924832,0.14878242441773595,0.07169126337117471,0.025248064279418277,0.49993829513849675,0.9998765902769935,0.9989145571807235,0.9925013770172537,0.9665951999860936,0.8924190225315288,0.3886001801949397,0.9989145571807235,0.9925013770172537,0.9665951999860936,0.8924190225315288,0.0,0.0,0.9665951999860936,0.005543185574013165,0.20868745276957326,0.0005989122458299599,0.0005989122458299599,0.0005989122458299599,0.9848173127629193,0.9848173127629193,0.9848173127629193,0.07570461858215204,
